Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,pvalues
52,HX_HY_HZ,8,oie,7.8,0.7,5.0,expset,1t2,1.0,"[6.96559725749545e-116, 1.8329212224756246e-97, 3.8793997197709445e-172]"
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,gausset,2t3,1.0,"[1.5742334762368647e-178, 6.672144594458306e-57, 1.7608148146801378e-168]"
52,HX_HY_HZ,8,rdn,6.7,0.2,1.0,expset,3t4,2.8601844212462323e-12,"[3.519201817478918e-176, 0.026580135010222494, 6.195476086515982e-176]"
52,HX_HY_HZ,8,oie,3.3,0.1,1.0,gausset,2t4,1.0,"[1.1478883347205019e-139, 4.474986738228007e-21, 4.547237822014687e-114]"
52,HX_HY_HZ,8,rdn,8.9,0.7,3.7,expset,1t3,8.563753388060605e-189,"[3.061229910136393e-181, 0.43304104400191157, 3.061229910136393e-181]"
52,HX_HY_HZ,8,oie,10.0,0.1,5.0,gausset,2t4,1.0,"[8.3008879460479065e-140, 7.411871302267977e-23, 5.818119961752963e-106]"
52,HX_HY_HZ,8,oie,3.3,0.8,1.0,expset,2t3,1.0,"[1.2777709144116608e-33, 2.120363493659591e-174, 1.860788807837714e-178]"
52,HX_HY_HZ,8,oie,8.9,0.5,3.7,expset,1t3,1.0,"[6.984391257273255e-117, 1.2370678150404066e-100, 5.882101412309564e-173]"
52,HX_HY_HZ,8,oie,6.7,0.6,2.3,expset,2t4,1.0,"[1.289121369592926e-35, 3.936175247767422e-173, 4.8540103887343106e-178]"
52,HX_HY_HZ,8,oie,3.3,0.8,1.0,gausset,1t4,1.0,"[1.4215705861505212e-178, 1.3455076223128236e-58, 2.06204321758446e-168]"
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,gausset,2t3,1.0,"[6.048302045046769e-176, 6.847727326790856e-54, 2.190894496368019e-158]"
52,HX_HY_HZ,8,rdn,0.0,0.1,3.7,expset,2t4,2.1611373906225047e-103,"[6.296715066261126e-181, 0.2363956299255472, 5.060907296706953e-181]"
52,HX_HY_HZ,8,oie,10.0,0.1,5.0,gausset,2t3,1.0,"[2.027198465826091e-137, 8.306812414756389e-22, 2.0806992920952344e-105]"
52,HX_HY_HZ,8,oie,8.9,0.9,1.0,gausset,2t4,1.0,"[1.7915951918354257e-178, 1.786871610341218e-46, 1.5590111469933151e-171]"
52,HX_HY_HZ,8,rdn,1.1,0.3,3.7,expset,3t4,2.725703804548043e-59,"[1.3938527757945803e-177, 0.13484979381498285, 2.113909792549343e-177]"
52,HX_HY_HZ,8,rdn,4.4,0.6,1.0,gausset,1t2,0.9997367413091146,"[5.4765279463066126e-21, 2.632933495374905e-07, 1.8517260522959154e-08]"
52,HX_HY_HZ,8,oie,2.2,0.2,2.3,gausset,3t4,0.9999997242761852,"[8.223042855469108e-175, 2.757238527545612e-10, 3.4233937975478834e-170]"
52,HX_HY_HZ,8,oie,8.9,1.0,2.3,expset,1t2,1.0,"[9.813060445026682e-126, 3.5676913531948696e-108, 1.1513828354277162e-174]"
52,HX_HY_HZ,8,rdn,2.2,0.8,3.7,expset,3t4,1.5575113902859912e-22,"[1.4091171934511354e-178, 0.05021378276103105, 5.569368238788568e-179]"
